productType|productAvgSales|productCaseCost|productCurrentStock|productNoOfOrders|productOnOrder|productOnOrderCases|productOrderPackSize|productPackSize|productProductId|productProductName|productSellingPrice|productShelfLifeDays|productSupplierId|supplierListId1|supplierListType1|supplierListId2|supplierListType2|supplierListId3|supplierListType3|supplierListId4|supplierListType4|supplierListId5|supplierListType5|supplierListId6|supplierListType6|supplierListId7|supplierListType7|supplierListId8|supplierListType8|supplierListId9|supplierListType9|supplierListId10|supplierListType10|supplierListId11|supplierListType11|supplierListId12|supplierListType12|supplierListId13|supplierListType13|supplierListId14|supplierListType14|supplierListId15|supplierListType15|supplierListId16|supplierListType16|productUnitCost|productUnitIncase|barCode
HandheldProductDetail|0|0.62|0|false|0|0|1x1xEACH||C0000000880|EASTER  SINGLE CARD  CODE M X1|1.45|0|C000000017|HandheldSupplierID|C000000017|||||||||||||||||||||||||||||||0.62|1|5026309550393
HandheldProductDetail|46|15.09|6|false|0|0|6x1xEACH||C0000000881|INNOCENT SMTH MNGO&PAS 750MLS|4.25|0|C000000010|HandheldSupplierID|C000000010|||||||||||||||||||||||||||||||2.515|6|5038862340601
HandheldProductDetail|512|10.74|28|false|16|2|8x1xEACH||C0000000882|INNO SMTHIE STRWB & BAN 250ML|2.4|0|C000000010|HandheldSupplierID|C000000010|HandheldSupplierID|C000000313|||||||||||||||||||||||||||||1.3425|8|92179
HandheldProductDetail|0|26.68|0|false|0|0|6x1xEACH||C0000000883|BENYLIN ADULT CHESTY COUGH 150ML|7.8|0|C000000009|HandheldSupplierID|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||4.446666|6|5010123727703
HandheldProductDetail|44|38.63|0|false|0|0|6x1xEACH||C0000000884|BAREFOOT PINOT GRI 75CL|9.75|0|C000000009|HandheldSupplierID|C000000009|HandheldSupplierID|C000000312|||||||||||||||||||||||||||||6.438333|6|91553
HandheldProductDetail|53|37.88|0|false|0|0|6x1xEACH||C0000000885|BAREFOOT WHITE ZIN 75CL|9.75|0|C000000009|HandheldSupplierID|C000000009|HandheldSupplierID|C000000312|||||||||||||||||||||||||||||6.313333|6|91599
HandheldProductDetail|29|14.21|12|false|0|0|8x1xEACH||C0000000886|FULLERS LONDON PRIDE 500ML|3.5|0|C000000009|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||||1.77625|8|5011885003647
HandheldProductDetail|360|10.74|26|false|8|1|8x1xEACH||C0000000893|INNO SMTHIE MNG & P/FRT 250ML|2.4|0|C000000010|HandheldSupplierID|C000000010|HandheldSupplierID|C000000313|||||||||||||||||||||||||||||1.3425|8|92180
HandheldProductDetail|13|88.31|4|false|0|0|6x1xEACH||C0000000894|FAMOUS GROUSE WHISKY 70CL|22|0|C000000009|HandheldSupplierID|C000000009|HandheldSupplierID|C000000312|||||||||||||||||||||||||||||14.718333|6|91642
HandheldProductDetail|0|85.66|0|false|0|0|6x1xEACH||C0000000895|PIMMS NO 1 70CL|21.5|0|C000000312|HandheldSupplierID|C000000312|HandheldSupplierID|C000000009|||||||||||||||||||||||||||||14.276666|6|92547
